Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C6","10uF","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",70.739000,29.159200,0.000000,bottom
"C22","220uF","CP_Radial_D10.0mm_P5.00mm",40.431323,60.579000,0.000000,bottom
"C25","220uF","CP_Radial_D10.0mm_P5.00mm",40.304323,22.098000,0.000000,bottom
"C26","220uF","CP_Radial_D10.0mm_P5.00mm",56.088677,60.579000,180.000000,bottom
"C27","220uF","CP_Radial_D10.0mm_P5.00mm",56.215677,22.098000,180.000000,bottom
"C33","10uF","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",70.739000,58.420000,0.000000,bottom
"C39","10uF","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",63.550800,70.739000,90.000000,bottom
"C45","10uF","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",33.020000,70.739000,90.000000,bottom
"C51","10uF","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",25.781000,58.470800,180.000000,bottom
"C57","10uF","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",25.781000,29.210000,180.000000,bottom
"C62","220uF","CP_Radial_D10.0mm_P5.00mm",56.215677,33.401000,180.000000,bottom
"C63","220uF","CP_Radial_D10.0mm_P5.00mm",40.304323,33.401000,0.000000,bottom
"C64","10uF","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",48.514000,52.832000,0.000000,bottom
"D1","SS210","D_SMA",42.418000,52.832000,180.000000,bottom
"D3","SS210","D_SMA",63.246000,31.623000,90.000000,bottom
"J1","DaisyChain-In","JTAG_2x05_P1_27mm_Shrouded_SMD",51.689000,4.445000,180.000000,bottom
"L1","4.7uH","Bournes_L_PQ2614BLA",85.090000,29.210000,90.000000,bottom
"L2","4.7uH","Bournes_L_PQ2614BLA",85.090000,58.420000,90.000000,bottom
"L3","4.7uH","Bournes_L_PQ2614BLA",63.500000,85.090000,180.000000,bottom
"L4","4.7uH","Bournes_L_PQ2614BLA",33.020000,85.090000,180.000000,bottom
"L5","4.7uH","Bournes_L_PQ2614BLA",11.430000,58.420000,-90.000000,bottom
"L6","4.7uH","Bournes_L_PQ2614BLA",11.430000,29.210000,-90.000000,bottom
"L7","22uH","TYS5020220M",63.246000,25.400000,180.000000,bottom
"C1","4.7uF","C_0603_1608Metric",82.677000,34.925000,0.000000,top
"C2","100nF","C_0603_1608Metric",82.677000,33.401000,0.000000,top
"C3","470nF","C_0603_1608Metric",78.740000,30.607000,-90.000000,top
"C4","100nF","C_0603_1608Metric",61.341000,42.291000,-90.000000,top
"C5","470nF","C_0603_1608Metric",59.817000,42.291000,90.000000,top
"C7","10uF","C_0603_1608Metric",45.847000,56.769000,-90.000000,top
"C8","100nF","C_0603_1608Metric",47.244000,56.769000,-90.000000,top
"C9","10uF","C_0603_1608Metric",49.022000,39.497000,0.000000,top
"C10","100nF","C_0603_1608Metric",49.022000,40.894000,0.000000,top
"C11","100nF","C_0603_1608Metric",41.910000,42.164000,180.000000,top
"C12","47pF","C_0603_1608Metric",45.847000,36.957000,-90.000000,top
"C13","47pF","C_0603_1608Metric",42.799000,36.957000,-90.000000,top
"C14","100nF","C_0603_1608Metric",44.323000,36.957000,-90.000000,top
"C15","100nF","C_0603_1608Metric",41.275000,36.957000,-90.000000,top
"C18","4.7uF","C_0603_1608Metric",58.293000,20.320000,90.000000,top
"C19","10uF","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",70.485000,83.058000,0.000000,top
"C20","10uF","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",88.011000,48.514000,180.000000,top
"C21","4.7uF","C_0603_1608Metric",40.767000,27.178000,-90.000000,top
"C23","10uF","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",41.021000,83.058000,180.000000,top
"C24","10uF","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",8.763000,42.672000,-90.000000,top
"C28","4.7uF","C_0603_1608Metric",82.677000,64.135000,0.000000,top
"C29","100nF","C_0603_1608Metric",82.677000,62.611000,0.000000,top
"C30","470nF","C_0603_1608Metric",78.740000,59.817000,-90.000000,top
"C31","100nF","C_0603_1608Metric",58.293000,45.593000,90.000000,top
"C32","470nF","C_0603_1608Metric",61.341000,45.593000,-90.000000,top
"C34","4.7uF","C_0603_1608Metric",56.896000,78.232000,90.000000,top
"C35","100nF","C_0603_1608Metric",58.420000,78.232000,90.000000,top
