Designator,Mid X,Mid Y,Layer,Rotation
C6,172.339000mm,-118.160800mm,Bottom,0
C22,142.031323mm,-86.741000mm,Bottom,0
C25,141.904323mm,-125.222000mm,Bottom,0
C26,157.688677mm,-86.741000mm,Bottom,180
C27,157.815677mm,-125.222000mm,Bottom,180
C33,172.339000mm,-88.900000mm,Bottom,0
C39,165.150800mm,-76.581000mm,Bottom,90
C45,134.620000mm,-76.581000mm,Bottom,90
C51,127.381000mm,-88.849200mm,Bottom,180
C57,127.381000mm,-118.110000mm,Bottom,180
C62,157.815677mm,-113.919000mm,Bottom,180
C63,141.904323mm,-113.919000mm,Bottom,0
C64,150.114000mm,-94.488000mm,Bottom,0
D1,144.018000mm,-94.488000mm,Bottom,180
D3,164.846000mm,-115.697000mm,Bottom,90
J1,153.289000mm,-142.875000mm,Bottom,180
L1,186.690000mm,-118.110000mm,Bottom,90
L2,186.690000mm,-88.900000mm,Bottom,90
L3,165.100000mm,-62.230000mm,Bottom,180
L4,134.620000mm,-62.230000mm,Bottom,180
L5,113.030000mm,-88.900000mm,Bottom,270
L6,113.030000mm,-118.110000mm,Bottom,270
L7,164.846000mm,-121.920000mm,Bottom,180
C1,184.277000mm,-112.395000mm,Top,0
C2,184.277000mm,-113.919000mm,Top,0
C3,180.340000mm,-116.713000mm,Top,270
C4,162.941000mm,-105.029000mm,Top,270
C5,161.417000mm,-105.029000mm,Top,90
C7,147.447000mm,-90.551000mm,Top,270
C8,148.844000mm,-90.551000mm,Top,270
C9,150.622000mm,-107.823000mm,Top,0
C10,150.622000mm,-106.426000mm,Top,0
C11,143.510000mm,-105.156000mm,Top,180
C12,147.447000mm,-110.363000mm,Top,270
C13,144.399000mm,-110.363000mm,Top,270
C14,145.923000mm,-110.363000mm,Top,270
C15,142.875000mm,-110.363000mm,Top,270
C18,159.893000mm,-127.000000mm,Top,90
C19,172.085000mm,-64.262000mm,Top,0
C20,189.611000mm,-98.806000mm,Top,180
C21,142.367000mm,-120.142000mm,Top,270
C23,142.621000mm,-64.262000mm,Top,180
C24,110.363000mm,-104.648000mm,Top,270
C28,184.277000mm,-83.185000mm,Top,0
C29,184.277000mm,-84.709000mm,Top,0
C30,180.340000mm,-87.503000mm,Top,270
C31,159.893000mm,-101.727000mm,Top,90
C32,162.941000mm,-101.727000mm,Top,270
C34,158.496000mm,-69.088000mm,Top,90
