Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C18, C21, C28, C34, C40, C46, C52, C78, C80, C81, C89",0603,12,4.7uF,C19666
"C10, C11, C14, C15, C2, C29, C31, C35, C37, C4, C41, C43, C47, C49, C53, C55, C60, C61, C65, C66, C67, C68, C70, C72, C8, C82, C83, C84, C86, C87, C88, C90, C91, C92, C93",0603,35,100nF,C14663
"C12, C13, C77",0603,3,47pF,C1671
"C19, C20, C23, C24, C58, C59",1210,6,10uF-100V,N/A
"C22, C25, C26, C27, C62, C63",CP_Radial_D10.0mm_P5.00mm,6,220uF,N/A
"C3, C30, C32, C36, C38, C42, C44, C48, C5, C50, C54, C56",0603,12,470nF,C1623
"C33, C39, C45, C51, C57, C6, C64",1210,7,10uF-75V,N/A
"C69, C7, C73, C74, C75, C76, C9",0603,7,10uF,C96446
"C71, C79",0603,2,15pF,C1644
"D1, D3",D_SMA,2,SS210,C14996
"D2, D7",0805,2,Green LED,C2297
D4,D_SOD-123,1,B5819W,C8598
"D5, D6",0805,2,Yellow LED,C2296
J1,JTAG_2x05_P1_27mm_Shrouded_SMD,1,DaisyChain-In,N/A
J11,Harwin_M20-89003xx_1x03_P2.54mm_Horizontal,1,BMS_Serial,N/A
J2,JTAG_2x05_P1_27mm_Shrouded_SMD,1,~,
"J3, J4, J5, J6",CONN_74651195R_WRE,4,Screw_Terminal_01x09,N/A
J8,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,1,FanConnector,N/A
J9,JTAG_2x05_P1_27mm_Shrouded_SMD,1,DaisyChain-Out,N/A
"L1, L2, L3, L4, L5, L6",Bournes_L_PQ2614BLA,6,4.7uH,N/A
L7,TYS5020220M,1,22uH,N/A
P1,USB_C_Receptacle_GCT_USB4085,1,USB_C_Plug_USB2.0,N/A
"Q1, Q10, Q11, Q12, Q13, Q14, Q15, Q16, Q17, Q18, Q19, Q2, Q20, Q21, Q22, Q23, Q24, Q25, Q26, Q27, Q28, Q7, Q8, Q9",TRANS_BSC076N06NS3-G,24,MCAC80N10Y,N/A
"Q3, Q4, Q6",SOT-23,3,BSS138,N/A
Q5,SOT-23,1,BSS84,N/A
"R1, R102, R103, R104, R110, R112, R55, R60, R65, R70, R75",0603,11,0,C21189
"R10, R131, R132, R9",0603,4,510,C23193
"R100, R27",0603,2,68k,C23231
"R107, R117, R118, R119, R121, R128, R32, R6",0603,8,1k,C21190
"R108, R109",0603,2,5.1k,C23186
"R11, R19, R49, R50",0603,4,100,C22775
"R12, R13, R16, R2, R21, R23, R28, R3, R30, R33, R35, R44, R45, R46, R48, R51, R52, R53, R54, R56, R57, R61, R62, R66, R67, R71, R72, R76, R77, R80, R81, R82, R83, R84, R85, R86, R87, R88, R89, R90, R91, R92, R95, R96, R97",0603,45,10k,C25804
"R120, R129, R8",0603,3,2k,C22975
"R14, R17, R22, R43",0603,4,470k,C23178
R15,0603,1,27k,C22967
"R18, R39",0603,2,15k,C22809
"R24, R26",0603,2,22,C23345
R29,0603,1,100k,C25803
R31,0603,1,3k,C4211
R36,0603,1,30k,C22984
"R4, R58, R63, R68, R73, R78",1206,6,6.2k-0.25w,N/A
"R41, R47",0603,2,787k,N/A
R42,0603,1,120k,C25808
"R5, R59, R64, R69, R74, R79",0603,6,6.2k,C4260
R7,0603,1,22k,C31850
"R93, R94",0603,2,4.7k,C23162
R98,0603,1,7.5k,C23234
R99,0603,1,510k,C23192
SW3,SW_SPST_EVQP2,1,Boot,N/A
SW4,SW_SPST_EVQP2,1,Reset,N/A
"TH1, TH2",0402,2,10k-NTC,N/A
"U1, U5, U6, U7, U8, U9",TDFN-10-1EP_4x4mm_P0.8mm_EP2.6x3mm,6,HIP2210,N/A
U10,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
"U11, U12, U13, U14, U15, U16, U17, U18",SOT-353_SC-70-5_Handsoldering,8,74AHC1G126,N/A
U19,QFN-16-1EP_4x4mm_P0.65mm_EP2.5x2.5mm,1,AP66200FVBW-13,N/A
U2,TSSOP-16_4.4x5mm_P0.65mm,1,74HC4051PW,N/A
U20,WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm,1,W25Q32JVZP,N/A
U21,SOT-223-3_TabPin2,1,LM1117MP-5.0,C6187
U3,LQFP-64-1EP_10x10mm_P0.5mm_EP6.5x6.5mm,1,LTC7871,C690288
U4,SOT-223-3_TabPin2,1,LM1117MP-3.3,C6186
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz,N/A
