Designator,Mid X,Mid Y,Rotation,Layer
C1,82.677,34.925,0.0,top
C10,49.022,40.894,0.0,top
C11,41.91,42.164,180.0,top
C12,45.847,36.957,270.0,top
C13,42.799,36.957,270.0,top
C14,44.323,36.957,270.0,top
C15,41.275,36.957,270.0,top
C18,58.293,20.32,90.0,top
C19,70.485,83.058,0.0,top
C2,82.677,33.401,0.0,top
C20,88.011,48.514,180.0,top
C21,40.767,27.178,270.0,top
C22,42.799,60.579,180.0,bottom
C23,41.021,83.058,180.0,top
C24,8.763,42.672,270.0,top
C25,42.672,22.098,180.0,bottom
C26,53.721,60.579,0.0,bottom
C27,53.848,22.098,0.0,bottom
C28,82.677,64.135,0.0,top
C29,82.677,62.611,0.0,top
C3,78.74,30.607,270.0,top
C30,78.74,59.817,270.0,top
C31,58.293,45.593,90.0,top
C32,61.341,45.593,270.0,top
C33,70.739,58.42,180.0,bottom
C34,56.896,78.232,90.0,top
C35,58.42,78.232,90.0,top
C36,61.214,74.295,0.0,top
C37,61.341,53.213,270.0,top
C38,59.817,53.213,90.0,top
C39,63.5508,70.739,90.0,bottom
C4,61.341,42.291,270.0,top
C40,27.305,78.105,90.0,top
C41,28.829,78.105,90.0,top
C42,31.623,74.295,0.0,top
C43,35.179,53.213,270.0,top
C44,36.703,53.213,90.0,top
C45,33.02,70.739,90.0,bottom
C46,18.283,52.489,180.0,top
C47,18.283,54.013,180.0,top
C48,22.093,57.061,90.0,top
C49,38.227,45.593,90.0,top
C5,59.817,42.291,90.0,top
C50,35.179,45.593,270.0,top
C51,25.781,58.4708,0.0,bottom
C52,18.428,23.368,180.0,top
C53,18.428,24.892,180.0,top
C54,22.098,27.8,90.0,top
C55,35.179,42.164,270.0,top
C56,36.703,42.164,90.0,top
C57,25.781,29.21,0.0,bottom
C58,88.011,52.324,180.0,top
C59,5.207,42.672,270.0,top
C6,70.739,29.1592,180.0,bottom
C60,47.117,13.843,180.0,top
C61,50.165,13.843,180.0,top
C62,53.848,33.401,0.0,bottom
C63,42.672,33.401,180.0,bottom
C64,48.514,52.832,180.0,bottom
C65,53.213,13.843,180.0,top
C66,59.8424,10.16,270.0,top
C67,44.958,10.668,90.0,top
C68,44.831,18.5928,90.0,top
