Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C105, C106, C107, C108, C109, C110, C12, C18, C24, C3, C30, C36, C6, C75, C78, C79, C80, C81, C85, C87, C90, C93, C95",0603,24,10uF-25V,C96446
"C10, C14, C16, C20, C22, C26, C28, C32, C34, C38, C40, C8",0603,12,470nF,C1623
"C100, C101, C102, C103, C104, C111, C15, C21, C23, C27, C29, C33, C39, C66, C69, C70, C74, C76, C84, C86, C88, C89, C9, C91, C92, C94, C96, C97, C98, C99",0603,30,100nF,C14663
"C11, C13, C17, C19, C2, C25, C31, C35, C37, C4, C41, C42, C43, C44, C45, C46, C47, C48, C5, C50, C51, C53, C54, C55, C56, C57, C58, C59, C60, C61, C62, C63, C64, C65, C7, C71, C72, C73, C82, C83",1210,40,10uF-100v,C576517
"C49, C52",0603,2,15pF,C1644
"C67, C68, C77",0603,3,47pF,C1671
D1,TO-277A,1,SB10100L,C113946
"D10, D4",D_SOD-123,2,PMEG10010ELRX,C179426
"D11, D12, D13, D14, D15, D16, D17, D18, D9",D_SOD-923,9,ESD9B3.3ST5G,C96512
"D19, D2, D20, D21, D24, D3",D_SOD-923,6,ESD9B5.0ST5G,C3021104
D22,D_SMA,1,SMAJ90A,C2989723
D23,D_SMA,1,SMAJ60A,C707480
"D5, D6",0805,2,Yellow LED,C2296
"D7, D8",0805,2,Green LED,C2297
"GD1, GD2",1812,2,90V-2kA,C78323
"J1, J2, J3, J8",CONN_74651195R_WRE,4,Screw_Terminal_01x09,N/A
J4,JTAG_2x05_P1_27mm_Shrouded_SMD,1,SWD Debug,N/A
J5,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,1,FanConnector,N/A
J6,PinHeader_1x03_P2.54mm_Vertical,1,Debug,N/A
J7,PinHeader_1x03_P2.54mm_Vertical,1,BMS_Serial,N/A
"L1, L2, L3, L4, L5, L6",Bournes_L_PQ2614BLA,6,4.7uH,N/A
L7,L_Wuerth_HCI-1040,1,22uH,C182173
L8,L_Changjiang_FNR6045S,1,1.5mH,C168103
P1,USB_C_Receptacle_GCT_USB4085,1,USB_C_Plug_USB2.0,C7095263
"Q1, Q26, Q28, Q29, Q30, Q31, Q32, Q33, Q34",SOT-23,9,BSS138,C5224260
